id,org,village,block,district_raw,district,state,matched_name,status,lat,lon
p0866,Paani,Dongarwadi,,Ahilyanagar,Ahmednagar,Maharashtra,Dongarwadi,exact,19.190996551619715,74.93709564781425
p0867,Paani,Ganjibhoyare,,Ahilyanagar,Ahmednagar,Maharashtra,Ganji Bhoyare,fuzzy,18.964903090163062,74.37526453083036
p0868,Paani,Hanga,,Ahilyanagar,Ahmednagar,Maharashtra,Hanga,exact,18.986927483041008,74.50889990494598
p0869,Paani,Kanhur Pathar,,Ahilyanagar,Ahmednagar,Maharashtra,Nandur Pathar,fuzzy,19.13257254753742,74.25877259034492
p0870,Paani,Karegaon,,Ahilyanagar,Ahmednagar,Maharashtra,Karegaon,exact,19.147272829064253,75.21742164058004
p0871,Paani,Nannaj,,Ahilyanagar,Ahmednagar,Maharashtra,Nannaj,exact,18.595208937903347,75.31034605143255
p0872,Paani,Palwe Bk.,,Ahilyanagar,Ahmednagar,Maharashtra,Palwe Bk.,exact,18.895518702574694,74.48192341290905
p0873,Paani,Panoli,,Ahilyanagar,Ahmednagar,Maharashtra,Panoli,exact,18.950240836220424,74.41435909583357
p0874,Paani,Pokhari,,Ahilyanagar,Ahmednagar,Maharashtra,Pokhari,exact,19.28212018967998,74.28818714529201
p0875,Paani,Punewadi,,Ahilyanagar,Ahmednagar,Maharashtra,Punewadi,exact,19.030182219075524,74.39901747894622
p0876,Paani,Sarola Advai,,Ahilyanagar,Ahmednagar,Maharashtra,Sarola Advai,exact,19.049239029624804,74.54534336946476
p0877,Paani,Dadh Kh.,,Ahilyanagar,Ahmednagar,Maharashtra,Dadh Kh.,exact,19.506221687889273,74.41635171435038
p0878,Paani,Dolasane,,Ahilyanagar,Ahmednagar,Maharashtra,Dolasane,exact,19.380307542788334,74.21322895591767
p0879,Paani,Ghulewadi,,Ahilyanagar,Ahmednagar,Maharashtra,Ghulewadi (CT),exact,19.60773596904645,74.19599825379242
p0880,Paani,Gunjalwadi Pathar,,Ahilyanagar,Ahmednagar,Maharashtra,,district-centroid,19.24044246522748,74.71489630416632
p0881,Paani,Jawale Baleshwar,,Ahilyanagar,Ahmednagar,Maharashtra,Jawale Baleshwar,exact,19.429475044940318,74.11746952329615
p0882,Paani,Jawale Kadlag,,Ahilyanagar,Ahmednagar,Maharashtra,Jawale Kadlag,exact,19.589650094509576,74.12675901925967
p0883,Paani,Kaunchi,,Ahilyanagar,Ahmednagar,Maharashtra,,district-centroid,19.291068389262794,74.60713566297994
p0884,Paani,Kauthe Bk.,,Ahilyanagar,Ahmednagar,Maharashtra,Kauthe Bk.,exact,19.353607282955817,74.13580727418075
p0885,Paani,Kharadi,,Ahilyanagar,Ahmednagar,Maharashtra,Kharadi,exact,19.532345624992438,74.24669960595381
p0886,Paani,Kokangaon,,Ahilyanagar,Ahmednagar,Maharashtra,Kokangaon,exact,19.595358655967637,74.31417949764685
p0887,Paani,Kurakundi,,Ahilyanagar,Ahmednagar,Maharashtra,Kurakundi,exact,19.29901630362454,74.14204946016976
p0888,Paani,Lohare,,Ahilyanagar,Ahmednagar,Maharashtra,Lohare,exact,19.633404419753642,74.39520602788276
p0889,Paani,Manoli,,Ahilyanagar,Ahmednagar,Maharashtra,Manoli,exact,19.571175667687495,74.31338429077896
